period,n_towns,n_edges,modularity_Q,n_communities,br_median,br_mean
2013H1,164,2005,0.5769,7,0.3014,0.3339
2013H2,166,2055,0.5908,8,0.3059,0.3356
2014H1,167,2080,0.5933,7,0.3043,0.3353
2014H2,169,2130,0.5769,8,0.3056,0.3342
2015H1,170,2155,0.5812,8,0.304,0.3341
2015H2,169,2130,0.5895,9,0.2968,0.3282
2016H1,170,2155,0.6011,9,0.2931,0.3263
2016H2,170,2155,0.5985,9,0.2915,0.3248
2017H1,170,2155,0.5923,9,0.2907,0.3244
2017H2,173,2232,0.5886,7,0.2908,0.3241
2018H1,172,2206,0.5855,9,0.2904,0.3237
2018H2,176,2310,0.5918,8,0.288,0.3217
2019H1,176,2310,0.5917,8,0.2881,0.3212
2019H2,176,2310,0.5839,7,0.2897,0.3244
2020H1,175,2284,0.5864,8,0.2893,0.3247
2020H2,175,2284,0.5891,8,0.292,0.3262
2021H1,179,2390,0.5832,8,0.2905,0.3257
2021H2,178,2363,0.5878,8,0.289,0.325
2022H1,177,2337,0.5897,8,0.2922,0.3267
2022H2,177,2337,0.5966,8,0.2905,0.3256
