period,復興區,尖石鄉,五峰鄉,大同鄉,南澳鄉,和平區,烏來區,仁愛鄉
2013H1,7077,7360,3238,4755,4358,3557,2417,3761
2013H2,7053,7361,3208,4741,4371,3556,2420,3745
2014H1,7072,7541,3247,4760,4453,3576,2465,3758
2014H2,7204,7647,3375,4940,4540,3679,2479,3807
2015H1,7253,7720,3361,4915,4565,3680,2504,3817
2015H2,7277,7660,3295,4922,4574,3651,2493,3785
2016H1,7204,7735,3275,4930,4587,3668,2510,3785
2016H2,7237,7642,3236,4854,4581,3683,2503,3750
2017H1,7269,7754,3229,4846,4601,3700,2539,3733
2017H2,7271,7725,3207,4808,4608,3721,2530,3703
2018H1,7368,7839,3213,4847,4633,3758,2567,3728
2018H2,7637,7883,3374,5016,4813,3791,2563,3790
2019H1,7602,7935,3352,5009,4831,3774,2584,3806
2019H2,7646,7860,3256,4975,4765,3764,2604,3687
2020H1,7658,7907,3229,4957,4767,3743,2625,3723
2020H2,7676,7876,3169,4904,4748,3727,2599,3707
2021H1,8301,7964,3195,4950,4766,3722,2637,3722
2021H2,8343,7889,3159,4957,4734,3723,2593,3699
2022H1,8529,7916,3183,5024,4781,3720,2626,3690
2022H2,8658,7868,3253,5059,4883,3764,2590,3692
